Осакская кампания ,"Осакская кампания (яп. 大坂の陣,おおざかのじん, МФА: [o ː saka no d͡ʑiɴ]) — война в Японии в 1614—1615 годах между сёгунатом Эдо во главе с Токугава Иэясу и самурайским родом Тоётоми во главе с Тоётоми Хидэёри. Велась за установление верховенства власти сёгуната над страной, вокруг Осакского замка, главной цитадели рода Тоётоми.
"
Loops of Fury ,"Loops of Fury (рус. Циклы ярости) — мини-альбом британской группы The Chemical Brothers, вышедший 15 января 1996 года.
"
Сура (приток Волги) ,"Сура́ (чуваш. Сăр, горномар. Шур, эрз. Сура лей)[2] — большая река, правый приток Волги. Протекает по Ульяновской, Пензенской и Нижегородской областям, Мордовии, Марий Эл и Чувашии.
"
Молодёжный антиполовой союз ,"Молодежный антиполовой союз — одна из общественных организаций, упоминаемых в романе-антиутопии «1984» Джорджа Оруэлла. Члены Молодёжного антиполового союза проповедовали полное целомудрие (целибат) для обоих полов[1]. Зачатие разрешалось только путем искусственного осеменения (искос на новоязе), в общественных пунктах. Активисты Молодёжного антиполового союза должны были раздавать литературу и расклеивать листовки с целью продвижения идей союза, участвовать в шествиях с транспарантами.
"
"Левесон-Гоуэр, Гарриет ","Генрие́тта Елизаве́та «Га́рриет» Ле́весон-Го́уэр, графиня Гре́нвиль ((англ. Henrietta Elizabeth «Harriet» Leveson-Gower, Countess Granville), в девичестве Ка́вендиш (англ. Cavendish), 29 августа 1785, Девоншир-хаус[en], Лондон — 25 ноября 1862, Лондон) — британская аристократка, дочь Уильяма Кавендиша, 5-го герцога Девонширского и знаменитой красавицы Джорджианы Спенсер. Супруга Гренвиля Левесон-Гоуэра, графа Гренвиля.
"
"Ризарис, Георгиос ","Георгиос Ризарис (греч.  Γεώργιος Ριζάρης; 1769, Монодендри,Загори — 1842, Афины) — греческий предприниматель и меценат XIX века.
"
Флаг Страны Басков ,"Икурринья (баск. Ikurrin, исп. Ikurriña) — собственное название официального флага автономного сообщества Страны Басков в Испании и традиционный символ басков.
"
Магнитопровод ,"Магнитопро́вод — деталь или комплект деталей, предназначенных для прохождения с определенными потерями магнитного потока, возбуждаемого электрическим током, протекающим в обмотках устройств, в состав которых входит магнитопровод.
Магнитопроводы являются составными частями электромагнитных схемотехнических элементов: трансформаторов, катушек индуктивности, реле, пускателей, контакторов, а также магнитных головок, запоминающих устройств, электрических машин: генераторов, электродвигателей.
"
Плазиште ,"Плазиште (болг. Плазище) — село в Болгарии. Находится в Кырджалийской области, входит в общину Джебел. Население составляет 194 человека.
"
Гексацианоферрат(II) марганца ,"Гексацианоферрат(II) марганца — неорганическое соединение,
соль марганца и железистосинеродистой кислоты 
с формулой Mn2[Fe(CN)6],
не растворяется в воде,
образует кристаллогидрат — светло-зелёные кристаллы.
"
"Мендеш, Жозе ","Жозе Мендеш (порт. José João Mendes Pimenta Costa; род. 24 апреля 1985 (1985-04-24) в Гимарайнше, Португалия) — португальский профессиональный  шоссейный велогонщик, выступавший с 2013 по 2017 год в немецкой команде мирового тура «Bora–Hansgrohe». Чемпион Португалии в индивидуальной гонке 2016 года.
"
Ольховцы-Лазы ,"Ольхо́вцы-Лазы́ (укр. Вільхівці-Лази) — село в Тячевском районе Закарпатской области Украины.
"
Усково (Кемеровская область) ,"Усково — посёлок в Новокузнецком районе Кемеровской области. Входит в состав Красулинского сельского поселения[5].
"
Симого ,"Симого (яп. 下郷町 Симого:-мати) — посёлок в Японии, находящийся в уезде Минамиайдзу префектуры Фукусима. Площадь посёлка составляет 317,09 км²[1], население — 6004 человека (1 августа 2014)[2], плотность населения — 18,93 чел./км².
"
"Донат, Урсула ","Урсула «Улла» Донат (урожд. Юревитц, во втором браке Бреме, 30 июля 1931 года, Салдус, Курземе, Латвия) — восточногерманская легкоатлетка, бегунья на средние дистанции, бронзовый призёр Олимпийских игр 1960 года в Риме в беге на дистанции 800 метров.
"
Чемпионат мира по фигурному катанию среди юниоров 1984 ,"Чемпионат мира по фигурному катанию среди юниоров 1984 года — соревнование по фигурному катанию среди юных спортсменов мира в сезоне 1983—1984, организованное Международным союзом конькобежцев (ИСУ).
"
Меловой (Ульяновская область) ,"Меловой — посёлок в городском округе Новоульяновск Ульяновской области
"
Голомино ,"Голомино — деревня в Краснопрудской волости Псковского района Псковской области России.
"
"Либертадор-Хенераль-Сан-Мартин (департамент, Сан-Луис) ","Департамент Либертадор-Хенераль-Сан-Мартин  (исп. Departamento de Libertador General San Martin) — департамент в Аргентине в составе провинции Сан-Луис.
"
Сырные рынки (Нидерланды) ,"В данном списке приводятся сведения о пяти существующих по состоянию на начало XXI века сырных рынков в Нидерландах.
"
Луг (ирландская мифология) ,"Луг («Сияющий»; ирл. Lugh) — один из наиболее значительных богов племени Туата Де Дананн в ирландской мифологии, имеющий природу трикстера, схожего со скандинавским Локи. Также известен как Лавада (ирл. Lámhfhada; Длиннорукий), Илданах (ирл. Ildánach), Савилданах (ирл. Samhildánach), Лоннбемнех (ирл. Lonnbeimnech), Макниа (ирл. Macnia) и мак Этлень (ирл. mac Ethlenn) или мак Этненнь (ирл. mac Ethnenn).
"
Чемпионат Казахстана по шахматам 2016 ,"Чемпионат Казахстана по шахматам 2018 проходил в Алма-Ате с 3 по 13 мая.
"
"Лехтинен, Лаури ","Лаури Алексантери Лехтинен (фин. Lauri Aleksanteri Lehtinen; 10 августа 1908, Порвоо — 4 декабря 1973, Хельсинки) — финский бегун на длинные дистанции, который специализировался в беге на 5000 метров. Олимпийский чемпион 1932 года и серебряный призёр Олимпийских игр 1936 года.
"
"Бурский, Адам ","Адам Бурский (известный также, как Бурсиус) (польск. Adam Burski; около 1560, Бжезины — 15 февраля 1611, Замосць) — польский философ, логик, филолог, издатель и педагог эпохи Возрождения.
"
Список лучших альбомов США 1995 года (Billboard) ,"Список лучших альбомов США 1995 года (Billboard Year End Charts) — итоговый список наиболее популярных альбомов журнала Billboard, по данным продаж за 1995 год[1][2]. Cracked Rear View (дебютный альбом группы Hootie & The Blowfish) стал самым продаваемым альбомом 1995 года в США: к моменту выхода второго, Fairweather Johnson, он разошёлся более чем 13-миллионным тиражом[3]. Обе пластинки лидировали в хит-параде Billboard 200 (№ 1)[4], сделав Hootie & the Blowfish на тот момент самой популярной рок-группой страны[3].
"
Абиетат кобальта(II) ,"Абиетат кобальта(II) — неорганическое соединение,
соль кобальта и абиетиновой кислоты с формулой Co(C19H29COO)2,
тёмно-коричневое твёрдое вещество.
"
Цианид меди(II) ,"Цианид меди(II) — Cu(CN)2 — неорганическое химическое соединение, соль металла меди и синильной кислоты, жёлтый аморфный порошок, не растворяется в воде, сильный яд.
"
Алессандрия-дель-Карретто ,"Алесса́ндрия-дель-Карретто (итал. Alessandria del Carretto) — коммуна в Италии, располагается в регионе Калабрия, в провинции Козенца.
"
Тана (приток Сарса) ,"Тана — река в России, протекает в Октябрьском районе Пермского края. Устье реки находится в 67 км по левому берегу реки Сарс. Длина реки составляет 24 км[2].
"
Бельгия на зимних Паралимпийских играх 2018 ,"Бельгия на зимних Паралимпийских играх 2018 года в Пхёнчхане была представлена двумя спортсменами (Джаспер Балкаен и Элеонора Сана)  и одним спортсменом-гидом (Хлоя Сана) в соревнованиях по горнолыжному спорту.
"
Tennis Masters Cup 2008 ,"Masters Cup 2008 (англ. Tennis Masters Cup Shanghai 2008) — турнир сильнейших теннисистов, завершающий сезон ATP. В 2008 году проходит 39-е по счёту соревнование для одиночных игроков и 33-е для парных. Традиционно турнир проводится поздней осенью — в этом году с 9 по 16 ноября на кортах Qizhong Forest Sports City Arena в китайском Шанхае, которая принимает его четвёртый год подряд.
"
"Юроните, Дануте ","Дануте Юроните-Зельчувене (лит. Danutė Juronytė-Zelčiuvienė, 14 ноября 1933, Каунас, Литва — 27 февраля 2015, там же) — литовская и советская актриса театра и кино, режиссёр, заслуженная артистка Литовской ССР.
"
Липки (Львовская область) ,"Липки (укр. Липки) — село в Мостисском районе Львовской области Украины.
"
"Артёмов, Сергей Николаевич ","Серге́й Никола́евич Артёмов (1 января 1978, Москва,[1] СССР) — российский футболист.
"
"Грей, Херб ","Herbert Eser «Herb» Gray (англ. Герберт Эзер «Херб» Грей, 25 мая 1931 (1931-05-25), Уинсор, Онтарио, Канада — 21 апреля 2014, Оттава, Канада) — канадский государственный деятель, заместитель премьер-министра Канады (1997—2002).
"
"Сполинг, Ник ","Ник Спо́линг (англ. Nick Spaling; 19 сентября 1988, Палмерстон, Канада) — профессиональный канадский хоккеист, центральный нападающий. Игрок клуба НХЛ «Сан-Хосе Шаркс».
"
Электроника Б3-32 ,"Электроника Б3-32 — инженерный микрокалькулятор, выпускавшийся в СССР в начале 1980-х годов. Имел цену 65 рублей (в 1983 году).
"
"Черных, Павел Яковлевич ","Па́вел Я́ковлевич Черны́х (9 июля 1896 (1896-07-09), Иркутск — 10 августа 1970, Москва) — советский языковед и педагог, доктор филологических наук (1954), профессор Московского государственного университета им. М. В. Ломоносова. Учился на славяно-русском отделении историко-филологического факультета Казанского университета, в аспирантуре Иркутского университета (1920—1922). Ученик отечественных филологов А. М. Селищева, В. А. Богородицкого и Е. Ф. Будде. Преподавал в Ярославском, Московском государственном и Московском областном педагогических институтах. С 1954 г. работал в Московском государственном университете. Лауреат премии Президиума Академии наук СССР; награждён орденом Ленина (1951).
"
Роккетта-Нервина ,"Роккетта-Нервина (итал. Rocchetta Nervina) — коммуна в Италии, располагается в регионе Лигурия, в провинции Империя.
"
Пармантье (станция метро) ,"Пармантье (фр. Parmentier) — станция линии 3 Парижского метрополитена, расположенная в XI округе на пересечении трёх улиц: авеню Репюблик, авеню Пармантье и рю Оберкампф. Названа по одноимённой авеню, получившей своё имя по фамилии французского агронома и фармацевта Антуана Огюста Пармантье.
"
Босния и Герцеговина на Европейских играх 2019 ,"Босния и Герцеговина принимала участие на II Европейских играх, которые прошли с 21 по 30 июня 2019 года в Минске. Страна была представлена 17 спортсменами в 7 видах спорта[1][2].
"
Дело священника Грозовского ,"Дело священника Грозо́вского — уголовное дело в Российской Федерации по обвинению священника Гатчинской и Лужской епархии Русской Православной Церкви Глеба Грозовского в насильственных действиях сексуального характера в отношении трёх несовершеннолетних. Сами инкриминируемые действия относятся к 2009 и 2013 году, под стражей Грозовский находится с сентября 2014 года.
"
Полярная звезда (военная база) ,"«Поля́рная звезда́» — российская военная база на острове Врангеля в Северном Ледовитом океане между Восточно-Сибирским и Чукотским морями. Открыта в 2014 году. Находится в посёлке Ушаковское, не имеющем постоянного населения.
"
Бутылка ,"Буты́лка (от фр. bouteille, возможно, через польск. butelka[1]) — ёмкость для долговременного хранения жидкостей, высокий сосуд преимущественно цилиндрической формы и с узким горлом, удобным для закупоривания пробкой. Большие бутылки иногда именуются бутыля́ми.
"
Mister Ajikko ,"Mister Ajikko (яп. ミスター味っ子 мисута: адзикко, «Мистер Адзикко») — манга и одноимённый аниме-сериал о молодом поваре. Манга публиковалась в журнале Shonen Magazine с 1986 по 1989 год. Она нарисована Дайсукэ Тэрасавой (яп. 寺沢大介 Terasawa Daisuke) и является, наряду с Shota no Sushi (яп. 将太の寿司 «Король суси», 1992—1997[1]), одной из наиболее известных его работ.[2] За обе манги он был награждён премией издательства «Коданся» в 1988 и 1996 годах соответственно.[3]"
Шумейка ,"Шумейка — река в России, протекает в Красноармейском районе Саратовской области. Правый приток реки Золотуха, бассейн Волги.
"
39 год ,"39 (тридцать девятый) год по юлианскому календарю — невисокосный год, начинающийся в четверг. Это 39 год нашей эры, 39 год 1-го тысячелетия, 39 год I века, 9 год 4-го десятилетия I века, 10 год 30-х годов.
"
Красная Поляна (Прокопьевский район) ,"Красная Поляна — посёлок в Прокопьевском районе Кемеровской области. Входит в состав Сафоновского сельского поселения[5].
"
Синарский район ,"Синарский район — один из двух административных районов города Каменск-Уральский в Свердловской области.
"
"Халме, Тони ","Тони Кристиан Халме (фин. Tony Christian Halme, род. 6 января 1963, Хельсинки, Финляндия — 8 января 2010, там же) — финский политик, рестлер, боксёр, писатель, актер, и певец.[3] Был членом Парламента Финляндии (Эдускунта) с 2003 по 2007 год. Он также был профессиональным рестлером, выступавшим в World Wrestling Federation под именем Людвиг Борджиа, был бойцом MMA и профессиональным боксером. Он также был первым бойцом из скандинавских стран, выступавших в UFC.
"
Французский конституционный референдум (1870) ,"Французский конституционный референдум проводился 8 мая 1870 года для одобрения проекта конституции Второй французской империи, которая должна была стать конституционной монархией. Этот референдум стал последним из 5 плебисцитов, проведённых Наполеоном III.
"
"Гурковская, Юлия ","Юлия Григорова Гурковская (7 июня 1945, София — 5 декабря 2001, в 1972—1989 носила фамилию мужа Папазова, также известна как Джу) — болгарская яхтсменка, путешественница, политический деятель.
"
Дружба ,"Дру́жба — личные бескорыстные взаимоотношения между людьми, основанные на общности интересов и увлечений, взаимном уважении, взаимопонимании и взаимопомощи; предполагает личную симпатию, привязанность[1] и затрагивает наиболее интимные, душевные стороны человеческой жизни; одно из лучших нравственных чувств человека.
"
Балтит ,"Крепость Балтит (англ. Baltit Fort ; урду بلتت قلعہ‎) расположена в городе Каримабаде, который был столицей государства Хунза, а теперь является техсилом в округе Гилгит. Укрепление расположено на каракорумском шоссе недалеко от Гилгита (столицы Гилгит-Балтистана).
"
Куявско-Поморское воеводство ,"Куявско-Поморское воеводство (польск. Województwo kujawsko-pomorskie) — воеводство, расположенное на севере Польши. Центром и крупнейшими городами являются города Быдгощ (место расположения администрации) и Торунь (место нахождения воеводского сеймика).
"
"Гейдерих, Всеволод Андреевич ","Гейдерих Всеволод Андреевич (22 февраля 1933, Москва, СССР — 10 сентября 1995, Москва, Россия) — советский и российский учёный, физхимик, доктор химических наук (1976), ведущий научный сотрудник лаборатории химической термодинамики химического факультета МГУ им. М. В. Ломоносова, профессор (1990)[1].
"
Брза-Паланка ,"Брза-Паланка (серб. Брза Паланка) — посёлок городского типа в Сербии, в Борском округе, общины Кладово.
"
Урицкое (Никольский район) ,"Урицкое — деревня в Никольском районе Вологодской области.
"
Call of Cthulhu: Dark Corners of the Earth ,"Call of Cthulhu: Dark Corners of the Earth — мультиплатформенная компьютерная игра в жанре survival horror/шутера от первого лица с элементами квеста, разработанная Headfirst Productions и изданная Bethesda Softworks и 2K Games. Создана по мотивам творчества Лавкрафта. Только английская и русская ПК-версии игры имеют полный дубляж (аудио, субтитры, интерфейс), итальянская, французская и немецкая версии ограничены субтитрами и интерфейсом.
"
Гянджларбирлийи ,"«Гянджларбирлийи» (азерб. Gənclərbirliyi Futbol Klubu) — бывший азербайджанский футбольный клуб. Официальное название — Футбольный клуб «Гянджларбирлийи», что в переводе с азербайджанского на русский означает «молодёжный союз». Клуб был основан в 2003 году. Представлял город Сумгаит. С 2007 года клуб прекратил своё существование.
"
Даниловичи (Рюриковичи) ,"Даниловичи (также московские Даниловичи) — ветвь дома Рюриковичей от младшего сына Александра Невского Даниила; правящая династия в Московском княжестве, Владимирском великом княжестве (с перерывами), Новгородской земле (с перерывами), Нижегородском княжестве (с перерывами).
"
Delos Records ,"Delos Records — американская независимая фирма звукозаписи, специализирующаяся на академической музыке.
"
Жорновка (Киевская область) ,"Жорновка (укр. Жорнівка) — село, входит в Киево-Святошинский район Киевской области Украины.
"
Романьи (Верхний Рейн) ,"Романьи́ (фр. Romagny) — коммуна на северо-востоке Франции в регионе Гранд-Эст[1] (бывший Эльзас — Шампань — Арденны — Лотарингия), департамент Верхний Рейн, округ Альткирш, кантон Мазво[2]. До марта 2015 года коммуна административно входила в состав упразднённого кантона Данмари (округ Альткирш).
"
Люля (Новгородская область) ,"Люля — деревня в Боровичском муниципальном районе Новгородской области, входит в Прогресское сельское поселение.
"
Модель песчаной кучи ,"Модель песчаной кучи (англ. sandpile model) — классическая модель теории самоорганизованной критичности, связанная со многими областями математики.
"
Чемпионат Европы по баскетболу среди женщин 2019. Группа B ,"В этой статье представлено положение команд и результаты матчей в группе B первого раунда чемпионата Европы по баскетболу среди женщин 2019.
"
Гекатомн ,"Гекатомн (др.-греч. Ἑκατόμνος), сын Гиссалдома — правитель Карии, исторической области, расположенной на юго-западе Малой Азии. В настоящее время — территория современной Турции.
"
Queen of the Clouds ,"Queen of the Clouds — дебютный студийный альбом шведской певицы и автора-исполнителя Туве Лу (настоящее имя Эбба Туве Альса Нильссон), вышедший 24 сентября 2014 года на лейбле Island Records[13][1].
"
Sex on the Moon ,"Sex on the Moon (полное название — Sex on the Moon: The Amazing Story Behind the Most Audacious Heist in History) — книга современного американского писателя Бена Мезрича, созданная на реальных событиях, произошедших в 2002 году.
"
Евсевий (Никольский) ,"Митрополит Евсевий (в миру Евгений Иванович Никольский; 21 января 1860, село Серебряки, Алексинский уезд, Тульская губерния — 31 января 1922, Москва) — русский священнослужитель, епископ Русской православной церкви, Митрополит Крутицкий.
"
"Летелье, Рене ","Рене Летелье Мартнер (исп. René Letelier Martner; 21 сентября 1915, Сан-Бернардо — 2 июля 2006, Сантьяго) — чилийский шахматист, международный мастер (1960).
"
"Иванов, Павел Иванович (актёр) ","Па́вел Ива́нович Ивано́в (18 июня 1945 — 19 апреля 2012, Москва) — советский и российский актёр театра и кино.
"
Катастрофа Ил-18 под Москвой (1958) ,"В среду 7 мая 1958 года при испытательном полёте близ Шереметьева потерпел катастрофу Ил-18А ВВС СССР, в результате чего погибли 10 человек. Первое происшествие в истории Ил-18.
"
"Касабьян, Степан Сергеевич ",
Штутгартер Кикерс ,"«Штутгартер Кикерс» (нем. Stuttgarter Kickers) — спортивное общество из района Дегерлох (Штутгарт, Германия), насчитывающее 1600 членов и наиболее известное своим футбольным клубом.
"
Губкинский ,"Гу́бкинский — город в Ямало-Ненецком автономном округе России.
"
Рик и Морти ,"«Рик и Морти» (англ. Rick and Morty) — американский комедийный научно-фантастический анимационный сериал, созданный Джастином Ройландом и Дэном Хармоном и выпускаемый в рамках блока Adult Swim на телеканале Cartoon Network. Премьера сериала состоялась в декабре 2013 года; второй сезон вышел в 2015. 1 октября 2017 года завершился третий сезон, и в мае 2018 года было объявлено о выпуске ещё 70-ти эпизодов при неопределённом количестве сезонов[1].
В мае 2019 года была объявлена дата выхода четвёртого сезона — ноябрь 2019[2].
"
"Морнар, Ивица ","И́вица Мо́рнар (хорв. Ivica Mornar; 12 января 1974, Сплит) — хорватский футболист, нападающий. Провёл 22 матча за сборную Хорватии. Участник Чемпионата Европы 2004.
"
Малая Горка (Ленинградская область) ,"Малая Горка (до 1948 года Парккила, фин. Parkkila[2]) — посёлок в Плодовском сельском поселении Приозерского района Ленинградской области.
"
"Коваленко, Валерий Александрович ","Вале́рий Алекса́ндрович Ковале́нко (5 декабря 1939 (1939-12-05), Старый Оскол, Курская область, РСФСР, СССР — 21 мая 2018) — советский и российский учёный-философ. Доктор философских наук (1996), профессор (1998). Преподаватель философии Обнинского института атомной энергетики (с 1989). Специалист в области философии творчества, аксиологии. Исследователь творчества Фёдора Достоевского, Андрея Платонова, Андрея Тарковского.
"
